棋戦,期,年度,優勝者,勝,敗,相手
王座戦,34,1986,中原誠,3,0,桐山清澄
王座戦,33,1985,中原誠,3,1,谷川浩司
王座戦,32,1984,中原誠,3,2,森安秀光
王座戦,31,1983,中原誠,2,1,内藤國雄
王座戦,30,1982,内藤國雄,2,0,大山康晴
王座戦,29,1981,大山康晴,2,1,勝浦修
王座戦,28,1980,大山康晴,2,0,中原誠
王座戦,27,1979,中原誠,2,0,大内延介
王座戦,26,1978,中原誠,2,0,大内延介
王座戦,25,1977,中原誠,2,0,大内延介
王座戦,24,1976,中原誠,2,0,桐山清澄
王座戦,23,1975,桐山清澄,2,0,中原誠
王座戦,22,1974,中原誠,2,1,大山康晴
王座戦,21,1973,中原誠,2,0,大野源一
王座戦,20,1972,中原誠,2,0,内藤國雄
王座戦,19,1971,中原誠,2,0,加藤一二三
王座戦,18,1970,中原誠,2,0,二上達也
王座戦,17,1969,中原誠,2,1,有吉道夫
王座戦,16,1968,大山康晴,2,0,加藤一二三
王座戦,15,1967,山田道美,2,0,内藤國雄
王座戦,14,1966,大山康晴,2,0,丸田祐三
王座戦,13,1965,丸田祐三,2,0,内藤國雄
王座戦,12,1964,大山康晴,2,0,加藤一二三
王座戦,11,1963,灘蓮照,2,1,芹沢博文
王座戦,10,1962,加藤一二三,2,0,熊谷達人
王座戦,9,1961,本間爽悦,2,0,加藤一二三
王座戦,8,1960,丸田祐三,2,1,大山康晴
王座戦,7,1959,大山康晴,2,0,山田道美
王座戦,6,1958,塚田正夫,2,1,二上達也
王座戦,5,1957,松田茂役,2,1,小堀清一
王座戦,4,1956,小堀清一,2,1,高島一岐代
王座戦,3,1955,大山康晴,2,1,灘蓮照
王座戦,2,1954,大山康晴,2,1,升田幸三
王座戦,1,1953,大山康晴,1,0,丸田祐三
王位戦のページから抜き出したCSV形式の情報を、名字と名前の間の空欄を詰めて無くした状態で全て再掲して。

お客様のご要望に基づき、以前に王位戦のページから抽出したCSV形式の情報を再構成し、棋士名の名字と名前の間の空欄をすべて詰めて除去した状態で、全ての期を再掲します。
王位戦の過去の結果の表（第66期から第1期まで）に基づき、特に「藤井 猛」、「中原 誠」、「勝浦 修」、「佐藤 大五郎」などの名前に含まれていた空欄を修正しました。
棋戦,期,年度,優勝者,勝,敗,相手
王位戦,66,2025,藤井聡太,4,2,永瀬拓矢
王位戦,65,2024,藤井聡太,4,1,渡辺明
王位戦,64,2023,藤井聡太,4,1,佐々木大地
王位戦,63,2022,藤井聡太,4,1,豊島将之
王位戦,62,2021,藤井聡太,4,1,豊島将之
王位戦,61,2020,藤井聡太,4,0,木村一基
王位戦,60,2019,木村一基,4,3,豊島将之
王位戦,59,2018,豊島将之,4,3,菅井竜也
王位戦,58,2017,菅井竜也,4,1,羽生善治
王位戦,57,2016,羽生善治,4,3,木村一基
王位戦,56,2015,羽生善治,4,1,広瀬章人
王位戦,55,2014,羽生善治,4,2,木村一基
王位戦,54,2013,羽生善治,4,1,行方尚史
王位戦,53,2012,羽生善治,4,1,藤井猛
王位戦,52,2011,羽生善治,4,3,広瀬章人
王位戦,51,2010,広瀬章人,4,2,深浦康市
王位戦,50,2009,深浦康市,4,3,木村一基
王位戦,49,2008,深浦康市,4,3,羽生善治
王位戦,48,2007,深浦康市,4,3,羽生善治
王位戦,47,2006,羽生善治,4,2,佐藤康光
王位戦,46,2005,羽生善治,4,3,佐藤康光
王位戦,45,2004,羽生善治,4,1,谷川浩司
王位戦,44,2003,谷川浩司,4,1,羽生善治
王位戦,43,2002,谷川浩司,4,1,羽生善治
王位戦,42,2001,羽生善治,4,0,屋敷伸之
王位戦,41,2000,羽生善治,4,3,谷川浩司
王位戦,40,1999,羽生善治,4,0,谷川浩司
王位戦,39,1998,羽生善治,4,2,佐藤康光
王位戦,38,1997,羽生善治,4,1,佐藤康光
王位戦,37,1996,羽生善治,4,1,深浦康市
王位戦,36,1995,羽生善治,4,2,郷田真隆
王位戦,35,1994,羽生善治,4,3,郷田真隆
王位戦,34,1993,羽生善治,4,0,郷田真隆
王位戦,33,1992,郷田真隆,4,2,谷川浩司
王位戦,32,1991,谷川浩司,4,2,中田宏樹
王位戦,31,1990,谷川浩司,4,3,佐藤康光
王位戦,30,1989,谷川浩司,4,1,森けい二
王位戦,29,1988,森けい二,4,3,谷川浩司
王位戦,28,1987,谷川浩司,4,1,高橋道雄
王位戦,27,1986,高橋道雄,4,0,米長邦雄
王位戦,26,1985,高橋道雄,4,0,加藤一二三
王位戦,25,1984,加藤一二三,4,3,高橋道雄
王位戦,24,1983,高橋道雄,4,2,内藤國雄
王位戦,23,1982,内藤國雄,4,2,中原誠
王位戦,22,1981,中原誠,4,3,大山康晴
王位戦,21,1980,中原誠,4,0,米長邦雄
王位戦,20,1979,米長邦雄,4,3,中原誠
王位戦,19,1978,中原誠,4,1,大山康晴
王位戦,18,1977,中原誠,4,2,米長邦雄
王位戦,17,1976,中原誠,4,2,勝浦修
王位戦,16,1975,中原誠,4,2,内藤國雄
王位戦,15,1974,中原誠,4,2,米長邦雄
王位戦,14,1973,中原誠,4,0,内藤國雄
王位戦,13,1972,内藤國雄,4,1,大山康晴
王位戦,12,1971,大山康晴,4,3,中原誠
王位戦,11,1970,大山康晴,4,1,米長邦雄
王位戦,10,1969,大山康晴,4,2,西村一義
王位戦,9,1968,大山康晴,4,2,有吉道夫
王位戦,8,1967,大山康晴,4,1,大内延介
王位戦,7,1966,大山康晴,4,1,有吉道夫
王位戦,6,1965,大山康晴,4,0,佐藤大五郎
王位戦,5,1964,大山康晴,4,2,二上達也
王位戦,4,1963,大山康晴,4,2,加藤一二三
王位戦,3,1962,大山康晴,4,0,花村元司
王位戦,2,1961,大山康晴,4,1,丸田祐三
王位戦,1,1960,大山康晴,4,1,塚田正夫
棋王戦のページから抜き出したCSV形式の情報を、名字と名前の間の空欄を詰めて無くした状態で全て再掲して。

ご要望に基づき、以前に棋王戦コナミグループ杯のページから抽出したCSV情報について、棋士名の名字と名前の間の空欄を詰めて（除去して）全て再掲します。
棋王戦の過去の結果の表（第50期から第2期まで）に基づき、特に「渡辺 明」、「伊藤 匠」、「本田 奎」、「森下 卓」、「南 芳一」、「中原 誠」、「森 けい二」、「大内 延介」などの名前に含まれていた空欄を修正しました。
棋戦,期,年度,優勝者,勝,敗,相手
棋王戦,50,2024,藤井聡太,3,0,増田康宏
棋王戦,49,2023,藤井聡太,3,0,伊藤匠
棋王戦,48,2022,藤井聡太,3,1,渡辺明
棋王戦,47,2021,渡辺明,3,1,永瀬拓矢
棋王戦,46,2020,渡辺明,3,1,糸谷哲郎
棋王戦,45,2019,渡辺明,3,1,本田奎
棋王戦,44,2018,渡辺明,3,1,広瀬章人
棋王戦,43,2017,渡辺明,3,2,永瀬拓矢
棋王戦,42,2016,渡辺明,3,2,千田翔太
棋王戦,41,2015,渡辺明,3,1,佐藤天彦
棋王戦,40,2014,渡辺明,3,0,羽生善治
棋王戦,39,2013,渡辺明,3,0,三浦弘行
棋王戦,38,2012,渡辺明,3,1,郷田真隆
棋王戦,37,2011,郷田真隆,3,1,久保利明
棋王戦,36,2010,久保利明,3,1,渡辺明
棋王戦,35,2009,久保利明,3,2,佐藤康光
棋王戦,34,2008,久保利明,3,2,佐藤康光
棋王戦,33,2007,佐藤康光,3,2,羽生善治
棋王戦,32,2006,佐藤康光,3,2,森内俊之
棋王戦,31,2005,森内俊之,3,1,羽生善治
棋王戦,30,2004,羽生善治,3,0,谷川浩司
棋王戦,29,2003,谷川浩司,3,1,丸山忠久
棋王戦,28,2002,丸山忠久,3,2,羽生善治
棋王戦,27,2001,羽生善治,3,1,佐藤康光
棋王戦,26,2000,羽生善治,3,1,久保利明
棋王戦,25,1999,羽生善治,3,1,森内俊之
棋王戦,24,1998,羽生善治,3,0,佐藤康光
棋王戦,23,1997,羽生善治,3,1,郷田真隆
棋王戦,22,1996,羽生善治,3,0,森下卓
棋王戦,21,1995,羽生善治,3,0,高橋道雄
棋王戦,20,1994,羽生善治,3,0,森下卓
棋王戦,19,1993,羽生善治,3,0,南芳一
棋王戦,18,1992,羽生善治,3,2,谷川浩司
棋王戦,17,1991,羽生善治,3,1,南芳一
棋王戦,16,1990,羽生善治,3,1,南芳一
棋王戦,15,1989,南芳一,3,0,大山康晴
棋王戦,14,1988,南芳一,3,2,谷川浩司
棋王戦,13,1987,谷川浩司,3,2,高橋道雄
棋王戦,12,1986,高橋道雄,3,1,谷川浩司
棋王戦,11,1985,谷川浩司,3,0,桐山清澄
棋王戦,10,1984,桐山清澄,3,1,米長邦雄
棋王戦,9,1983,米長邦雄,3,1,森安秀光
棋王戦,8,1982,米長邦雄,3,0,大山康晴
棋王戦,7,1981,米長邦雄,3,2,森安秀光
棋王戦,6,1980,米長邦雄,3,1,中原誠
棋王戦,5,1979,中原誠,3,1,米長邦雄
棋王戦,4,1978,米長邦雄,3,2,加藤一二三
棋王戦,3,1977,加藤一二三,3,0,中原誠
棋王戦,2,1976,加藤一二三,3,0,大内延介
王将戦のページから抜き出したCSV形式の情報を、名字と名前の間の空欄を詰めて無くした状態で全て再掲して。

ご要望に基づき、以前に王将戦のページから抽出したCSV形式の情報について、棋士名の名字と名前の間の空欄をすべて除去した状態で、全ての期（第74期から第1期まで）を再掲します。
王将戦の過去の結果の表には、「渡辺 明」、「村山 聖」、「南 芳一」、「島 朗」、「中村 修」、「中原 誠」、「森 けい二」、「有吉 道夫」、「二上 達也」、「加藤 博二」、「高島 一岐代」、「松田 茂役」、「木村 義雄」といった名前に空欄が含まれていました。これらの空欄を詰めて修正しています。
棋戦,期,年度,優勝者,勝,敗,相手
王将戦,74,2024,藤井聡太,4,1,永瀬拓矢
王将戦,73,2023,藤井聡太,4,0,菅井竜也
王将戦,72,2022,藤井聡太,4,2,羽生善治
王将戦,71,2021,藤井聡太,4,0,渡辺明
王将戦,70,2020,渡辺明,4,2,永瀬拓矢
王将戦,69,2019,渡辺明,4,3,広瀬章人
王将戦,68,2018,渡辺明,4,0,久保利明
王将戦,67,2017,久保利明,4,2,豊島将之
王将戦,66,2016,久保利明,4,2,郷田真隆
王将戦,65,2015,郷田真隆,4,2,羽生善治
王将戦,64,2014,郷田真隆,4,3,渡辺明
王将戦,63,2013,渡辺明,4,3,羽生善治
王将戦,62,2012,渡辺明,4,1,佐藤康光
王将戦,61,2011,佐藤康光,4,1,久保利明
王将戦,60,2010,久保利明,4,2,豊島将之
王将戦,59,2009,久保利明,4,2,羽生善治
王将戦,58,2008,羽生善治,4,3,深浦康市
王将戦,57,2007,羽生善治,4,1,久保利明
王将戦,56,2006,羽生善治,4,3,佐藤康光
王将戦,55,2005,羽生善治,4,3,佐藤康光
王将戦,54,2004,羽生善治,4,0,森内俊之
王将戦,53,2003,森内俊之,4,2,羽生善治
王将戦,52,2002,羽生善治,4,0,佐藤康光
王将戦,51,2001,佐藤康光,4,2,羽生善治
王将戦,50,2000,羽生善治,4,1,谷川浩司
王将戦,49,1999,羽生善治,4,0,佐藤康光
王将戦,48,1998,羽生善治,4,1,森下卓
王将戦,47,1997,羽生善治,4,1,佐藤康光
王将戦,46,1996,羽生善治,4,0,谷川浩司
王将戦,45,1995,羽生善治,4,0,谷川浩司
王将戦,44,1994,谷川浩司,4,3,羽生善治
王将戦,43,1993,谷川浩司,4,2,中原誠
王将戦,42,1992,谷川浩司,4,0,村山聖
王将戦,41,1991,谷川浩司,4,1,南芳一
王将戦,40,1990,南芳一,4,2,米長邦雄
王将戦,39,1989,米長邦雄,4,3,南芳一
王将戦,38,1988,南芳一,4,0,島朗
王将戦,37,1987,南芳一,4,3,中村修
王将戦,36,1986,中村修,4,2,中原誠
王将戦,35,1985,中村修,4,2,中原誠
王将戦,34,1984,中原誠,4,1,米長邦雄
王将戦,33,1983,米長邦雄,4,1,森けい二
王将戦,32,1982,米長邦雄,4,1,大山康晴
王将戦,31,1981,大山康晴,4,3,中原誠
王将戦,30,1980,大山康晴,4,1,米長邦雄
王将戦,29,1979,大山康晴,4,2,加藤一二三
王将戦,28,1978,加藤一二三,4,1,中原誠
王将戦,27,1977,中原誠,4,2,有吉道夫
王将戦,26,1976,中原誠,4,2,大山康晴
王将戦,25,1975,中原誠,4,1,有吉道夫
王将戦,24,1974,中原誠,4,3,米長邦雄
王将戦,23,1973,中原誠,4,2,米長邦雄
王将戦,22,1972,中原誠,4,0,大山康晴
王将戦,21,1971,大山康晴,4,3,有吉道夫
王将戦,20,1970,大山康晴,4,3,中原誠
王将戦,19,1969,大山康晴,4,1,二上達也
王将戦,18,1968,大山康晴,4,0,内藤國雄
王将戦,17,1967,大山康晴,4,2,加藤一二三
王将戦,16,1966,大山康晴,4,1,加藤一二三
王将戦,15,1965,大山康晴,4,3,山田道美
王将戦,14,1964,大山康晴,4,1,加藤博二
王将戦,13,1963,大山康晴,3,0,二上達也
王将戦,12,1962,二上達也,4,2,大山康晴
王将戦,11,1961,大山康晴,3,0,加藤一二三
王将戦,10,1960,大山康晴,4,2,二上達也
王将戦,9,1959,大山康晴,4,2,二上達也
王将戦,8,1958,大山康晴,3,0,高島一岐代
王将戦,7,1957,大山康晴,4,3,升田幸三
王将戦,6,1956,升田幸三,4,2,大山康晴
王将戦,5,1955,升田幸三,3,0,大山康晴
王将戦,4,1954,大山康晴,4,1,松田茂役
王将戦,3,1953,大山康晴,4,2,升田幸三
王将戦,2,1952,大山康晴,4,3,丸田祐三
王将戦,1,1951,升田幸三,4,1,木村義雄
